name,link,percentile,points
"Houston - SmartBracket-1Click","https://fantasy.espn.com/games/tournament-challenge-bracket-2023/bracket?id=0a860c69-cdc9-3e42-a90a-876e7b3af7c0","83.2%","520"
"Alabama - ChatGPT+SmartBracket","https://fantasy.espn.com/games/tournament-challenge-bracket-2023/bracket?id=9032d0ed-8c28-3bf9-b0b7-5d7f33329780","83.2%","520"
"Purdue - Power-ranking-benchmark","https://fantasy.espn.com/games/tournament-challenge-bracket-2023/bracket?id=f662187e-a728-3adf-9919-4d0b2110a306","14.6%","310"
"DL-SmartBracket 1","https://fantasy.espn.com/games/tournament-challenge-bracket-2023/bracket?id=0704c5f2-5971-3ecb-8c84-8f5fc7e95ed5","0%","0"
"DanLipsy-SmartBracket 3","https://fantasy.espn.com/games/tournament-challenge-bracket-2023/bracket?id=4a31f169-0e2a-3112-b82b-cdd6c5ab52ef","0%","0"
"DanLipsy-SmartBracket 5","https://fantasy.espn.com/games/tournament-challenge-bracket-2023/bracket?id=6e8d2121-9225-38e3-9a4b-9e0c58673801","0%","0"
