name,link,percentile,points
"UConn Huskies - DanLipsy-SmartBracket's Picks 1","https://fantasy.espn.com/games/tournament-challenge-bracket-2024/bracket?id=ab1007f0-e62f-11ee-8d16-4bef1c6940d3","89.6%","1200"
"UConn Huskies - PLA 5: SmartBracket Natl","https://fantasy.espn.com/games/tournament-challenge-bracket-2024/bracket?id=9d17ed90-e713-11ee-beae-9167d93d8668","97.4%","1360"
"UConn Huskies - PLA Benchmark 4: Popular","https://fantasy.espn.com/games/tournament-challenge-bracket-2024/bracket?id=0fcc6310-e710-11ee-b28c-c51af1c3e59d","93.8%","1230"
"UConn Huskies - PLA benchmark 1: Chalk","https://fantasy.espn.com/games/tournament-challenge-bracket-2024/bracket?id=2bcbb440-e70f-11ee-bca9-5d575cbafbe6","92.3%","1210"
"Illinois Fighting Illini - PLA Benchmark 7: ChatGPT","https://fantasy.espn.com/games/tournament-challenge-bracket-2024/bracket?id=09a97540-e729-11ee-b2a2-d165ed155245","45.7%","630"
